HIP,RA,Dec,pmRA,pmDec
79881,244.57457668,-28.61402047,-33.79,-100.59
79882,244.58037087,-4.69251067,82.39,40.08
79992,244.93515331,46.31336639,-13.15,39.31
80112,245.29715015,-25.59279641,-10.03,-18.03
80170,245.48005997,19.15313028,-47.44,44.61
82080,251.49268245,82.03726206,19.54,4.67
84012,257.59453052,-15.72491023,41.16,97.65
84143,258.03830643,-43.23918896,22.01,-287.41
84345,258.66191003,14.39033281,-6.71,32.78
86032,263.73362733,12.56003477,110.08,-222.61
86092,263.91495845,-46.5056839,-25.13,-38.32
86182,264.15689127,48.58563453,31.75,64.13
86201,264.23788371,68.75796966,1.34,321.05
86228,264.32971086,-42.99782386,6.06,-0.95
86263,264.39667273,-15.39855727,-39.3,-61.27
86284,264.46130363,-8.11877079,-11.7,-20.38
88149,270.06582758,4.36861526,1.78,-12.95
88175,270.12087728,-3.69026911,154.17,-44.43
88192,270.16131566,2.93156761,0.41,-8.22
88290,270.43832718,1.30507628,15.43,-13.61
88404,270.77049855,-8.18034926,15.11,-37.61
90156,275.97752727,58.80073609,-37.64,62.08
90185,276.04299301,-34.38461611,-39.61,-124.05
90422,276.74340114,-45.96845881,-16.68,-53.33
90496,276.99266896,-25.42170011,-44.81,-186.29
92308,282.21037591,-43.68004746,24.39,-20.84
92405,282.47048652,32.55105772,-11.76,-12.76
92420,282.51997782,33.36266704,1.1,-4.46
92512,282.80039775,59.38835076,77.56,25.43
94376,288.13875006,67.66154129,94.49,92.3
94481,288.43953147,39.1459682,-1.59,-0.61
96441,294.11056248,50.22110266,-8.15,262.98
96465,294.17680514,-24.883623,68.7,-23.19
96468,294.18032351,-1.2866009,1.89,-20.75
96483,294.22270556,-7.02747723,1.29,-2.69
98337,299.68928113,19.49214775,64.37,22.58
98353,299.73832815,-26.19576726,34.5,24.74
98412,299.93407757,-35.27630546,6.02,-25.15
98688,300.66450229,-27.70984484,32.28,14.35
98702,300.70446942,67.8735649,16.43,47.8
100453,305.5570912,40.25667924,2.43,-0.93
102422,311.32239594,61.83878197,86.08,817.89
102485,311.52388737,-25.27089759,-51.38,-156.66
102488,311.55284473,33.9702561,356.16,330.28
102532,311.66459285,16.12429621,-25.88,-196.27
102589,311.85224078,36.49071665,14.93,-8.2
102618,311.91896433,-9.49577573,31.89,-35.32
104459,317.39853222,-11.37169305,92.31,-15.76
104521,317.58541733,10.13157953,49.07,-151.85
104732,318.2341091,30.22691571,6.87,-68.12
104738,318.26278733,-39.42492195,187.36,-114.38
106723,324.27012962,-19.46601155,13.48,0.81
106786,324.43795564,-7.85420152,114.29,-24.44
108661,330.20927032,-28.45373653,14.81,0.3
108874,330.8285172,-2.15536296,24.81,-11.14
108917,330.94772431,64.62797127,214.46,89.29
110672,336.31926326,1.37740059,18.38,3.35
110778,336.64281397,-16.74213796,209.77,3.96
110960,337.20796732,-0.01997197,191.32,37.47
110991,337.29277618,58.41519853,16.47,3.55
112716,342.39792615,-13.59263187,-12.58,-38.8
112724,342.42006922,66.2004077,-66.1,-124.74
112748,342.50080334,24.60157928,144.11,-43.44
112935,343.10031448,9.83566452,521.86,44.1
112948,343.13139485,-32.87550403,-33.32,-22.15
112961,343.15364976,-7.57959928,19.51,32.71
114724,348.58066516,-6.04900282,46.22,-195.85
114855,348.97289447,-9.08773691,368.56,-17.02
114939,349.21224791,-7.72650369,-18.66,-15.43
114971,349.29140788,3.28228889,760.35,17.96
115033,349.47589677,-9.18251333,19.63,-9.64
116758,354.94611664,-14.2221779,51.8,-55.58
116771,354.98767042,5.62629159,376.32,-437.0
116805,355.10211725,44.33393168,81.33,-18.96
116901,355.44085819,-17.816533,13.93,0.11
116928,355.51169238,1.78004078,-129.55,-154.87
116971,355.68060053,-14.54490474,98.35,-66.78
117089,356.05032979,-18.27693776,27.6,-3.76
443,1.33392048,-5.7076182,-8.29,88.19
677,2.09691071,29.09043199,135.68,-162.95
746,2.29452113,59.1497796,523.39,-180.42
2548,8.09909149,6.95546321,45.91,3.54
2599,8.24996522,62.93178271,3.99,-2.1
4510,14.45896617,28.99221671,5.28,-7.77
6686,21.45396795,60.23528317,297.24,-49.49
6706,21.56359189,19.17234565,-26.8,10.16
8645,27.86513997,-10.33503772,38.78,-38.04
8796,28.27044954,29.57882927,12.02,-233.69
8832,28.38255961,19.29385177,79.43,-99.1
8833,28.38896,3.18753653,23.69,23.9
8886,28.59885632,63.67010151,31.98,-18.66
8903,28.66003816,20.80803505,96.32,-108.8
10644,34.26345869,34.22423111,1151.61,-246.32
10670,34.32861359,33.84719358,44.91,-52.42
10732,34.53140185,19.90116354,-16.07,0.9
12706,40.8251625,3.23581853,-146.43,-145.27
12719,40.86296995,27.70714655,3.51,-9.97
12770,41.03062458,-13.85869636,-7.58,-8.4
12777,41.04994313,49.22844773,334.03,-89.96
12828,41.23559307,10.1141459,285.17,-30.4
12843,41.27577129,-18.57256259,330.93,36.28
13061,41.97725287,29.24711818,148.42,-125.76
14817,47.82242336,39.61158237,-26.21,4.78
14838,47.90735613,19.72667738,154.61,-8.39
15110,48.72540048,21.04444121,-29.83,-77.15
16826,54.12241189,48.19263365,21.41,-27.58
16852,54.21826338,0.40166163,-232.69,-482.0
18907,60.78908352,5.98930513,5.52,-1.63
19038,61.17381506,22.08192566,91.73,-58.52
19167,61.64601411,50.35126182,-13.03,-36.37
19205,61.75189443,29.00129953,-94.03,4.9
20885,67.14373289,15.96218073,104.76,-15.01
20889,67.15416474,19.18043155,107.23,-36.77
