Name,PtolLon,PtolLat,HIP
14,66.5,-1.5,29655
15,68.5,-1.25,30343
16,70.16666666666667,-3.5,30883
17,72.0,-7.5,31681
18,74.66666666666667,-10.5,32362
19,64.16666666666667,-0.6666666666666666,28734
20,66.5,5.833333333333333,29696
21,75.16666666666667,-2.25,32921
22,88.33333333333333,-1.3333333333333333,37908
23,86.33333333333333,-3.3333333333333335,37300
24,86.0,-4.5,36616
25,90.66666666666667,-2.6666666666666665,39177
2,97.66666666666667,1.25,41909
3,98.0,-1.1666666666666667,41822
4,100.33333333333333,2.6666666666666665,42806
5,101.33333333333333,-0.16666666666666666,42911
6,106.5,-5.5,44066
7,98.33333333333333,11.833333333333334,43103
8,92.66666666666667,1.0,39780
9,97.16666666666667,-7.5,40526
10,109.66666666666667,-2.3333333333333335,45410
11,111.16666666666667,-5.666666666666667,44798
12,104.0,7.25,44405
13,107.0,4.833333333333333,44946
1,108.33333333333333,10.0,46146
2,111.16666666666667,7.5,46750
3,114.33333333333333,12.0,48455
4,114.16666666666667,9.5,47908
5,120.16666666666667,11.0,50335
6,122.16666666666667,8.5,50583
7,120.66666666666667,4.5,49583
8,122.5,0.16666666666666666,49669
9,123.5,-1.8333333333333335,49637
10,120.0,-0.25,48883
11,117.33333333333333,0.0,47723
12,114.16666666666667,-3.6666666666666665,46771
13,117.33333333333333,-4.166666666666667,47508
14,122.5,-4.25,49029
15,129.16666666666666,-0.16666666666666666,51624
16,127.0,4.0,51585
17,130.33333333333334,5.333333333333333,52689
18,132.16666666666666,2.3333333333333335,52911
19,131.33333333333334,12.25,53954
20,134.16666666666666,13.666666666666666,54872
21,134.33333333333334,11.166666666666666,55765
22,136.33333333333334,9.666666666666666,54879
23,140.33333333333334,5.833333333333333,55642
24,141.66666666666666,1.25,55434
25,144.66666666666666,-0.8333333333333334,55945
26,147.5,-3.1666666666666665,56647
27,144.5,11.833333333333334,57632
28,126.0,13.333333333333334,52457
29,128.16666666666666,15.5,53417
30,137.5,1.1666666666666667,54182
31,137.16666666666666,-0.5,53824
32,138.0,-2.6666666666666665,53807
33,144.83333333333334,30.0,60742
34,144.33333333333334,25.0,59847
35,148.5,25.5,61394
1,146.33333333333334,4.25,57380
2,146.0,5.666666666666667,57328
3,150.66666666666666,8.0,58948
4,150.5,5.5,58590
5,149.0,0.16666666666666666,57757
6,158.25,1.1666666666666667,60129
7,163.16666666666666,2.8333333333333335,61941
8,167.5,2.8333333333333335,63494
9,171.0,1.6666666666666665,64238
10,164.33333333333334,8.5,63090
11,158.16666666666666,13.5,61960
12,160.16666666666666,11.666666666666666,62267
13,162.16666666666666,15.166666666666666,63608
14,176.66666666666666,-2.0,65474
15,174.83333333333334,8.666666666666666,66249
16,176.33333333333334,3.3333333333333335,66006
17,177.25,0.16666666666666666,66098
18,180.0,1.5,66803
19,178.0,-3.0,65581
20,181.66666666666666,-1.5,67172
21,178.0,8.5,67929
22,186.66666666666666,7.5,69701
23,187.33333333333334,2.6666666666666665,69427
24,188.33333333333334,11.666666666666666,70755
25,190.0,0.5,69974
26,192.66666666666666,9.833333333333334,71957
27,164.66666666666666,-3.5,61740
28,169.0,-3.5,62985
29,172.25,-3.3333333333333335,64078
30,177.16666666666666,-7.166666666666667,64407
31,178.16666666666666,-8.333333333333334,64924
32,185.0,-7.833333333333333,67494
1,198.0,0.6666666666666666,72622
2,197.0,2.5,72489
3,202.16666666666666,8.833333333333334,74785
4,197.66666666666666,8.5,73473
5,204.0,-1.6666666666666665,74392
6,201.33333333333334,1.25,73945
7,207.83333333333334,4.75,76333
8,213.0,3.5,77853
9,206.16666666666666,9.0,76219
10,213.66666666666666,6.666666666666667,78207
11,214.33333333333334,9.25,78727
12,213.5,0.5,77811
13,210.66666666666666,0.3333333333333333,76880
14,211.16666666666666,-1.5,76742
15,203.0,-7.5,73714
16,211.16666666666666,-8.5,76470
17,212.0,-9.666666666666666,76600
1,216.33333333333334,1.3333333333333333,78820
2,215.66666666666666,-1.6666666666666665,78401
3,215.66666666666666,-5.0,78265
4,216.0,-7.833333333333333,78104
5,217.0,1.6666666666666665,79374
6,216.33333333333334,0.5,78933
7,220.66666666666666,-3.75,80112
8,222.66666666666666,-4.0,80763
9,224.5,-5.5,81266
10,219.33333333333334,-6.5,79404
11,220.66666666666666,-6.666666666666667,79881
12,228.5,-11.0,82396
13,228.83333333333334,-15.0,82514
14,230.0,-18.0,82729
15,230.16666666666666,-18.666666666666668,82671
16,233.16666666666666,-19.5,84143
17,238.16666666666666,-18.833333333333332,86228
18,240.5,-16.666666666666668,87073
19,239.0,-15.166666666666666,86670
20,237.5,-13.333333333333334,85927
21,237.0,-13.5,85696
